,part_of_speech,synonyms
30,satellite,"{'cxlv': 6.822160609461874e-08, '145': 1.238870802712409e-05, 'one hundred forty-five': 8.50469299389204e-09}"
31,satellite,"{'14th': 1.5171077936566666e-05, 'fourteenth': 5.8470973277366455e-06}"
32,satellite,"{'xv': 5.670469464568567e-06, 'fifteen': 3.7593395101550066e-05, '15': 0.00020084015305770243}"
33,satellite,"{'150': 3.4696498009513654e-05, 'cl': 2.7942842730848986e-06, 'one hundred fifty': 1.940095769395287e-07}"
34,satellite,"{'hundred-and-fiftieth': 4.660059811182708e-09, '150th': 1.7756230088995077e-07}"
35,satellite,"{'clv': 1.815054078881352e-08, '155': 1.1629856095386621e-05, 'one hundred fifty-five': 6.028005489379668e-09}"
36,satellite,"{'fifteenth': 7.0192511406250435e-06, '15th': 1.780656451976691e-05}"
37,satellite,"{'sixteen': 1.878476625066682e-05, '16': 0.00015072247200388232, 'xvi': 5.5903909766499895e-06}"
38,satellite,"{'160': 1.7134406577450183e-05, 'one hundred sixty': 8.48981982314077e-08, 'clx': 2.2731107385176505e-08}"
39,satellite,"{'hundred-and-sixtieth': 2.23523259092401e-09, '160th': 4.623301816896531e-08}"
40,satellite,"{'clxv': 1.573946172045378e-08, '165': 1.1428800513440916e-05, 'one hundred sixty-five': 8.282031875952724e-09}"
41,satellite,"{'16th': 1.486168998074339e-05, 'sixteenth': 8.236442689174129e-06}"
42,satellite,"{'17': 0.00012833235451883716, 'seventeen': 1.0721158508000343e-05, 'xvii': 4.35428303503997e-06}"
43,satellite,"{'clxx': 1.594935645752338e-08, 'one hundred seventy': 7.937241089344204e-08, '170': 1.304001970481011e-05}"
44,satellite,"{'hundred-and-seventieth': 2.5769811359038986e-10, '170th': 2.953709878444252e-08}"
45,satellite,"{'one hundred seventy-five': 1.926908642313966e-08, '175': 1.2735354721209145e-05, 'clxxv': 1.321971047197331e-08}"
46,satellite,"{'17th': 1.4979564021170707e-05, 'seventeenth': 7.885856455025283e-06}"
47,satellite,"{'18': 0.00014518249461254278, 'eighteen': 2.400604695642896e-05, 'xviii': 4.201279571518244e-06}"
48,satellite,"{'180': 1.709187860190279e-05, 'clxxx': 1.3545384322863184e-08, 'one hundred eighty': 9.941082140755553e-08}"
49,satellite,"{'hundred-and-eightieth': 1.2295816052624655e-09, '180th': 6.07610552781917e-08}"
50,satellite,"{'eighteenth': 9.738199346070339e-06, '18th': 1.559133726155891e-05}"
51,satellite,"{'nineteen': 9.929030066943392e-06, '19': 0.00011899111786125964, 'xix': 3.931732494357849e-06}"
52,satellite,"{'190': 1.162295462611373e-05, 'one hundred ninety': 5.346925803825966e-08, 'xcl': 2.893764809315651e-09}"
53,satellite,"{'hundred-and-ninetieth': 1.543056074184903e-10, '190th': 2.410914413786701e-08}"
54,satellite,"{'nineteenth': 1.1696566294866095e-05, '19th': 1.5695069581403452e-05}"
55,satellite,"{'1st': 5.6893500491635575e-05, 'first': 0.0008436372819868388}"
56,satellite,"{'2': 0.0008755770321858939, 'two': 0.0009791362767181616, 'ii': 7.057720654715504e-05}"
57,satellite,"{'two-dimensional': 1.4856790387641455e-06, 'flat': 3.2768255737977746e-05, '2-dimensional': 8.424019979638815e-08}"
58,satellite,"{'20': 0.0002055100892011112, 'twenty': 0.0001451184050530839, 'xx': 4.566110595391508e-06}"
59,satellite,"{'200': 5.5456599341545074e-05, 'two hundred': 1.967747632451967e-05, 'cc': 7.142010213911045e-06}"
60,satellite,"{'two-hundredth': 3.222717949039738e-08, '200th': 1.490858646916098e-07}"
61,satellite,"{'twentieth': 8.621100876157407e-06, '20th': 1.7571135247594193e-05}"
62,satellite,"{'21': 0.00011344741904091883, 'twenty-one': 7.5648626196865535e-06, 'xxi': 3.068157091602249e-06}"
63,satellite,"{'21st': 1.2225964472047246e-05, 'twenty-first': 1.6124969098860843e-06}"
64,satellite,"{'xxii': 3.0353071964242532e-06, 'twenty-two': 4.871831616810599e-06, '22': 0.00010880068494349685}"
65,satellite,"{'twenty-second': 9.300538954700938e-07, '22nd': 6.006063079074081e-06}"
66,satellite,"{'23': 0.00010049806136946726, 'xxiii': 2.6551376111781513e-06, 'twenty-three': 3.5432569085021707e-06}"
67,satellite,"{'23rd': 5.917335975101042e-06, 'twenty-third': 9.126063210330954e-07}"
68,satellite,"{'24': 0.00011838874938224436, 'xxiv': 2.6999203920881457e-06, 'twenty-four': 1.1461804539963778e-05}"
69,satellite,"{'twenty-fourth': 9.231364219375418e-07, '24th': 1.2174874611070532e-05}"
70,satellite,"{'twenty-five': 1.5965314984839295e-05, '25': 0.00015040881887767743, 'xxv': 2.147904468695774e-06}"
71,satellite,"{'twenty-fifth': 1.2397218831783784e-06, '25th': 1.3341410350104702e-05}"
72,satellite,"{'26': 9.369118584111151e-05, 'twenty-six': 3.514355998553196e-06, 'xxvi': 2.125072717820171e-06}"
73,satellite,"{'26th': 1.1051179590883382e-05, 'twenty-sixth': 7.06581081260199e-07}"
74,satellite,"{'xxvii': 1.8279536182953231e-06, 'twenty-seven': 2.970051435834911e-06, '27': 8.93658142073249e-05}"
75,satellite,"{'twenty-seventh': 6.955241792695744e-07, '27th': 1.1028895271005283e-05}"
76,satellite,"{'xxviii': 1.9485644469913545e-06, 'twenty-eight': 3.523915549382393e-06, '28': 9.535360751215196e-05}"
77,satellite,"{'twenty-eighth': 6.861936780685105e-07, '28th': 1.1490100346445602e-05}"
78,satellite,"{'xxix': 1.3617238431896037e-06, '29': 8.154057222703543e-05, 'twenty-nine': 1.9452152552550577e-06}"
79,satellite,"{'twenty-ninth': 6.530655732311089e-07, '29th': 1.0605837900253725e-05}"
80,satellite,"{'second': 0.00028246724987554387, '2d': 3.6755342633860286e-05, '2nd': 2.3832406467892468e-05}"
81,satellite,"{'3': 0.0006331422490302632, 'three': 0.0004906299275477001, 'iii': 3.8832124820693695e-05}"
82,satellite,"{'three-d': 1.4095652423574451e-09, 'three-dimensional': 1.6276492059908996e-06, 'third-dimensional': 4.492817311788592e-09, '3-dimensional': 1.1409279490242679e-07}"
83,satellite,"{'3-membered': 1.2429942084604721e-09, 'three-membered': 1.2268239034624451e-08}"
84,satellite,"{'300': 3.9190525941190273e-05, 'ccc': 7.085150168568768e-08, 'three hundred': 1.379726211371037e-05}"
85,satellite,"{'300th': 5.614263131538309e-08, 'three-hundredth': 1.5557478870739462e-08}"
86,satellite,"{'30th': 1.619030045348896e-05, 'thirtieth': 2.2191767004740742e-06}"
87,satellite,"{'xxxi': 1.3737852265548018e-06, 'thirty-one': 1.967109214620566e-06, '31': 9.842857486971777e-05}"
88,satellite,"{'thirty-first': 9.622303129361244e-07, '31st': 1.4362524237542718e-05}"
89,satellite,"{'thirty-two': 3.126666059054835e-06, '32': 5.6287830164471324e-05, 'xxxii': 1.3691507541872225e-06}"
90,satellite,"{'thirty-second': 3.585883457820163e-07, '32nd': 5.474691924935936e-07}"
91,satellite,"{'33': 5.0753885466627226e-05, 'thirty-three': 2.3698460878341358e-06, 'xxxiii': 1.2562824797649792e-06}"
92,satellite,"{'33rd': 5.113783574513233e-07, 'thirty-third': 2.7352411822431353e-07}"
93,satellite,"{'xxxiv': 1.1371100807939094e-06, 'thirty-four': 1.9846302422243077e-06, '34': 4.7282113413022286e-05}"
94,satellite,"{'34th': 1.0052703514688906e-06, 'thirty-fourth': 2.174292525861063e-07}"
95,satellite,"{'35': 6.268606466302582e-05, 'thirty-five': 4.930068165104128e-06, 'xxxv': 9.759250473703441e-07}"
96,satellite,"{'35th': 9.377753521613282e-07, 'thirty-fifth': 2.7107576841528354e-07}"
97,satellite,"{'36': 4.923324692169577e-05, 'xxxvi': 1.0076909636826508e-06, 'thirty-six': 3.481493100017426e-06}"
98,satellite,"{'36th': 8.538395624911733e-07, 'thirty-sixth': 2.7752032948324637e-07}"
99,satellite,"{'thirty-seven': 1.7466113450701582e-06, 'xxxvii': 8.898122233221184e-07, '37': 4.3324703133805785e-05}"
100,satellite,"{'37th': 7.701554862403038e-07, 'thirty-seventh': 2.0322920212471148e-07}"
101,satellite,"{'thirty-eight': 1.7400526907161113e-06, 'xxxviii': 8.240492681049304e-07, '38': 4.32499718283108e-05}"
102,satellite,"{'38th': 8.804173291045744e-07, 'thirty-eighth': 2.067499718645319e-07}"
103,satellite,"{'ixl': 3.8710649620215015e-09, 'thirty-nine': 1.4514699409973339e-06, '39': 3.8845192383794244e-05}"
104,satellite,"{'thirty-ninth': 1.8952827789353334e-07, '39th': 9.474632249787908e-07}"
105,satellite,"{'3rd': 1.64821429590554e-05, 'tertiary': 2.640365417838664e-06, 'third': 0.00016580020254677226}"
106,satellite,"{'4': 0.0004904523749689764, 'four': 0.00027399453411537845, 'iv': 2.6936833371987973e-05}"
107,satellite,"{'four-dimensional': 1.1185743972418678e-07, '4-dimensional': 2.018402279472846e-08}"
108,satellite,"{'four-membered': 1.4549327649648942e-08, '4-membered': 1.9972270719849875e-09}"
109,satellite,"{'twoscore': 1.9533528452750697e-08, 'forty': 5.506782165502561e-05, 'xl': 9.72086000194332e-07, '40': 9.281546869900433e-05}"
110,satellite,"{'400': 2.8723973949961627e-05, 'cd': 9.771178425207671e-07, 'four hundred': 8.575456486889843e-06}"
111,satellite,"{'400th': 4.455379611663783e-08, 'four-hundredth': 1.3595800183697528e-08}"
112,satellite,"{'40th': 1.2211869237718958e-06, 'fortieth': 8.590889960910152e-07}"
113,satellite,"{'xli': 6.265983090032859e-07, '41': 3.8068891977019456e-05, 'forty-one': 1.207518404560607e-06}"
114,satellite,"{'forty-first': 1.7622662611407009e-07, '41st': 6.436623162070133e-07}"
115,satellite,"{'xlii': 6.218486304067693e-07, 'forty-two': 1.9287063358984153e-06, '42': 4.181969648108614e-05}"
116,satellite,"{'42nd': 1.1768362673677932e-06, 'forty-second': 2.0604273137025326e-07}"
117,satellite,"{'xliii': 5.80175371043614e-07, '43': 3.625539980617618e-05, 'forty-three': 1.2848555284918039e-06}"
118,satellite,"{'forty-third': 1.7403780605726535e-07, '43rd': 4.3813837102986066e-07}"
119,satellite,"{'forty-fourth': 1.5702980123545154e-07, '44th': 7.806807361498392e-07}"
120,satellite,"{'forty-five': 3.8792843487882224e-06, '45': 5.109993371781487e-05, 'xlv': 6.072196830616517e-07}"
121,satellite,"{'45th': 9.108554435148972e-07, 'forty-fifth': 2.165963128993975e-07}"
122,satellite,"{'xlvi': 4.881690483183722e-07, 'forty-six': 1.3753748203591142e-06, '46': 3.404903168273025e-05}"
123,satellite,"{'46th': 6.340479615257378e-07, 'forty-sixth': 1.408371172870987e-07}"
124,satellite,"{'47': 3.327894067356223e-05, 'forty-seven': 1.187167373249817e-06, 'xlvii': 4.566639653676328e-07}"
125,satellite,"{'forty-seventh': 1.2992836025520847e-07, '47th': 7.181312422579122e-07}"
126,satellite,"{'48': 3.9395537853530077e-05, 'forty-eight': 3.098364339932225e-06, 'xlviii': 5.317198982055667e-07}"
127,satellite,"{'48th': 6.296384546378586e-07, 'forty-eighth': 1.3745636013258484e-07}"
128,satellite,"{'il': 1.1086434622502093e-05, '49': 3.204654536470023e-05, 'forty-nine': 1.032768239382232e-06}"
129,satellite,"{'49th': 7.442284063216552e-07, 'forty-ninth': 1.960535690970692e-07}"
130,satellite,"{'fourth': 5.723355661330333e-05, 'quaternary': 4.799690039781657e-07, '4th': 2.6933907602920012e-05}"
131,satellite,"{'v': 4.751335881329708e-05, 'five': 0.00023253718765741153, '5': 0.0004374962168967373}"
132,satellite,"{'5-membered': 7.96933158906866e-09, 'five-membered': 4.311734030174475e-08}"
133,satellite,"{'l': 0.00012866286348153972, '50': 0.00012470953603191902, 'fifty': 6.014946475249429e-05}"
134,satellite,"{'five hundred': 1.3512690220650885e-05, '500': 4.617793924544418e-05, 'd': 0.0001169344332162455}"
135,satellite,"{'five-hundredth': 2.0374817387001065e-08, '500th': 5.6140833965624895e-08}"
136,satellite,"{'50th': 1.195924419029166e-06, 'fiftieth': 1.1400185303740544e-06}"
137,satellite,"{'51': 3.1144348992172054e-05, 'li': 6.031008903590261e-06, 'fifty-one': 9.954020254677583e-07}"
138,satellite,"{'fifty-two': 1.4520970464867548e-06, '52': 3.2140700875545434e-05, 'lii': 5.302286173467659e-07}"
139,satellite,"{'fifty-three': 1.0075454949392208e-06, '53': 2.8558227629122416e-05, 'liii': 5.40132066015463e-07}"
140,satellite,"{'fifty-four': 1.2493646832338482e-06, '54': 2.9777512236162334e-05, 'liv': 8.284999918588442e-07}"
141,satellite,"{'lv': 6.171266337547237e-07, 'fifty-five': 1.6943959106192112e-06, '55': 3.637532292645339e-05}"
142,satellite,"{'fifty-six': 1.2883033205456228e-06, '56': 2.894783795371047e-05, 'lvi': 2.703112624477953e-07}"
143,satellite,"{'fifty-seven': 9.24907915793851e-07, '57': 2.729063753760146e-05, 'lvii': 3.08081018346475e-07}"
144,satellite,"{'lviii': 2.916984787224103e-07, 'fifty-eight': 9.148312771265548e-07, '58': 2.710748850588407e-05}"
145,satellite,"{'ilx': 3.6462358307737748e-09, '59': 2.5353141955093997e-05, 'fifty-nine': 7.388957918439083e-07}"
146,satellite,"{'fifth': 3.317095415756833e-05, '5th': 2.417729157049668e-05}"
147,satellite,"{'vi': 1.7523420514608715e-05, 'half-dozen': 6.482391223726629e-07, '6': 0.00035153180885639476, 'six': 0.00017123293983121034, 'half dozen': 7.505301686665452e-07}"
148,satellite,"{'6-membered': 1.0184263856460634e-08, 'six-membered': 5.4848446642467806e-08}"
149,satellite,"{'threescore': 7.708424105284529e-07, '60': 7.26125647928932e-05, 'lx': 6.387495120423402e-07, 'sixty': 3.34948593996707e-05}"
150,satellite,"{'60th': 8.468155352572709e-07, 'sixtieth': 4.833544868979706e-07}"
151,satellite,"{'lxi': 2.436085165785903e-07, 'sixty-one': 8.104974842548366e-07, '61': 2.5537952426436024e-05}"
152,satellite,"{'sixty-four': 1.2650085347559816e-06, 'lxiv': 1.9091078873015797e-07, '64': 2.7759506331920774e-05}"
153,satellite,"{'sixty-fourth': 1.0490974174930327e-07, '64th': 4.1199784439764184e-07}"
154,satellite,"{'sixty-five': 2.067524548837439e-06, '65': 3.448339541244391e-05, 'lxv': 2.4017310369847474e-07}"
155,satellite,"{'65th': 4.616907228503145e-07, 'sixty-fifth': 1.0696406309744904e-07}"
156,satellite,"{'66': 2.5624994167386612e-05, 'sixty-six': 1.0947555674967958e-06, 'lxvi': 2.89763462402382e-07}"
157,satellite,"{'lxvii': 1.663347715580947e-07, 'sixty-seven': 8.174401502391118e-07, '67': 2.351105857468457e-05}"
158,satellite,"{'68': 2.4198180635081858e-05, 'sixty-eight': 8.956584925027824e-07, 'lxviii': 2.4918648732316587e-07}"
159,satellite,"{'sixty-nine': 6.767286986097292e-07, 'ilxx': 2.570393884322607e-11, '69': 2.1887803436495772e-05}"
160,satellite,"{'sixth': 2.1763351110019048e-05, '6th': 1.942903364931632e-05}"
161,satellite,"{'vii': 1.2431653615393066e-05, 'seven': 9.594800854898353e-05, '7': 0.0002809431469396766}"
162,satellite,"{'seven-membered': 1.2857306896415582e-08, '7-membered': 3.0924474663332797e-09}"
163,satellite,"{'seventieth': 3.2498729121582603e-07, '70th': 5.422442386858409e-07}"
164,satellite,"{'seventy-one': 6.625540880681349e-07, 'lxxi': 1.5670433927919202e-07, '71': 2.2638981190873876e-05}"
165,satellite,"{'seventy-two': 1.3691412711925135e-06, 'lxxii': 1.9867910765911966e-07, '72': 2.5962188928905113e-05}"
166,satellite,"{'73': 2.25490372051228e-05, 'lxxiii': 2.014296086964003e-07, 'seventy-three': 7.276393558386532e-07}"
167,satellite,"{'74': 2.301667898747198e-05, 'lxxiv': 1.469073228953947e-07, 'seventy-four': 9.140603584075241e-07}"
168,satellite,"{'seventy-five': 3.5857593930797643e-06, '75': 4.468412773638358e-05, 'lxxv': 1.3210706737157158e-07}"
169,satellite,"{'75th': 6.774459984331159e-07, 'seventy-fifth': 1.4797571011197448e-07}"
170,satellite,"{'seventy-six': 8.054342272865466e-07, 'lxxvi': 1.4083175924377754e-07, '76': 2.2473492435164307e-05}"
171,satellite,"{'seventy-seven': 6.140605649848821e-07, 'lxxvii': 1.5920026891593772e-07, '77': 2.2814529641828563e-05}"
172,satellite,"{'lxxviii': 2.0347405305810264e-07, 'seventy-eight': 6.916327870861586e-07, '78': 2.2179011448512435e-05}"
173,satellite,"{'eight': 0.00010212204779322962, 'viii': 1.1491712678169574e-05, '8': 0.00029179421731227273}"
174,satellite,"{'8-membered': 2.1373379335948877e-09, 'eight-membered': 7.063555956785334e-09}"
175,satellite,"{'80': 5.20091315550641e-05, 'lxxx': 1.607378800333291e-07, 'eighty': 1.797789878779161e-05, 'fourscore': 7.09820496368344e-07}"
176,satellite,"{'eightieth': 3.293541727764839e-07, '80th': 8.349003717393054e-07}"
177,satellite,"{'81': 2.3466481937935355e-05, 'eighty-one': 5.864785115939519e-07, 'lxxxi': 1.3027873730608298e-07}"
178,satellite,"{'82': 2.1432409418281044e-05, 'lxxxii': 1.1956910562676326e-07, 'eighty-two': 6.905588901621036e-07}"
179,satellite,"{'83': 2.096992880245783e-05, 'eighty-three': 6.488616514649884e-07, 'lxxxiii': 1.21605587925364e-07}"
180,satellite,"{'84': 2.1899377403281693e-05, 'eighty-four': 8.12638851801879e-07, 'lxxxiv': 1.3701558294306084e-07}"
181,satellite,"{'eighty-five': 1.0859790040223574e-06, '85': 2.777937215459924e-05, 'lxxxv': 1.0958750567050855e-07}"
182,satellite,"{'85th': 4.5636826648730167e-07, 'eighty-fifth': 6.95065717714487e-08}"
183,satellite,"{'eighty-eight': 6.094454494919591e-07, 'lxxxviii': 1.13370302153931e-07, '88': 2.1771710512271985e-05}"
184,satellite,"{'89': 1.9791713035163778e-05, 'eighty-nine': 4.793104499957945e-07, 'ixc': 3.512151279896024e-09}"
185,satellite,"{'eighth': 1.526499286484418e-05, '8th': 1.7434098401623065e-05}"
186,satellite,"{'9': 0.00021390419006501673, 'ix': 9.3510949118974e-06, 'nine': 6.286829129847527e-05}"
187,satellite,"{'9-membered': 5.252144741845816e-10, 'nine-membered': 1.6803654885533786e-09}"
188,satellite,"{'xc': 2.170864343733472e-07, 'ninety': 1.3967403760943853e-05, '90': 4.530129697961841e-05}"
189,satellite,"{'90th': 5.248369837430788e-07, 'ninetieth': 1.8546663456637138e-07}"
190,satellite,"{'xci': 1.3395290072075044e-07, 'ninety-one': 4.922203443452214e-07, '91': 1.9774751620140944e-05}"
191,satellite,"{'ninety-two': 6.188793214985031e-07, 'xcii': 1.0818962245403583e-07, '92': 1.996209736779988e-05}"
192,satellite,"{'93': 1.9178050694147974e-05, 'ninety-three': 5.211389437054622e-07, 'xciii': 8.957412283853427e-08}"
193,satellite,"{'ninety-four': 5.051304028698536e-07, '94': 1.902705537179914e-05, 'xciv': 1.0766528390375664e-07}"
194,satellite,"{'95th': 4.5981258620128324e-07, 'ninety-fifth': 3.7260232834179545e-08}"
195,satellite,"{'ninety-six': 6.717096104671119e-07, '96': 2.0130637848843122e-05, 'xcvi': 9.725869713890006e-08}"
196,satellite,"{'97': 1.8529674893136268e-05, 'xcvii': 1.0376666766778643e-07, 'ninety-seven': 4.770632689377629e-07}"
197,satellite,"{'98': 1.946042364835545e-05, 'ninety-eight': 5.311936169680647e-07, 'xcviii': 8.644019125516156e-08}"
198,satellite,"{'ninety-nine': 1.1887608094265507e-06, 'ic': 2.1695739836502533e-06, '99': 2.07667462812471e-05}"
199,satellite,"{'9th': 1.6314636986218028e-05, 'ninth': 1.1414000757407117e-05}"
200,satellite,"{'a-okay': 4.699100239474273e-10, 'a-ok': 1.4106266663043157e-10}"
201,satellite,"{'A-one': 2.6841337236976098e-09, 'super': 5.926526152179222e-06, 'tops': 8.34469312059349e-06, 'crack': 7.221819960538196e-06, 'tiptop': 2.8007725256430357e-08, 'ace': 1.627230214372351e-06, 'top-notch': 1.1597293117425148e-07, 'a-one': 6.067601061943534e-08, 'topnotch': 3.825637389480469e-08, 'first-rate': 1.6832669524688372e-06}"
202,satellite,"{'a.m.': 1.0502756612380647e-05, 'ante meridiem': 1.0211265516287643e-08}"
203,verb,"{'give up': 9.894305718248548e-06, 'empty': 2.1618888344266958e-05, 'vacate': 2.186306745668817e-06, 'desolate': 4.662989584550632e-06, 'abandoned': 2.4748123270213692e-05, 'desert': 1.6962032771032258e-05, 'abandon': 1.1213889554816788e-05, 'forsake': 3.2985759430416314e-06}"
204,satellite,"{'derelict': 5.82448180113681e-07, 'abandoned': 2.4748123270213692e-05, 'deserted': 9.383345222940546e-06}"
205,verb,"{'abashed': 6.396605653303707e-07, 'embarrass': 1.519557609745115e-06, 'abash': 5.6516289926756195e-08}"
206,satellite,"{'abashed': 6.396605653303707e-07, 'embarrassed': 4.4933620833166995e-06, 'chagrined': 3.8831957304408067e-07}"
207,adjective,"{'abatic': 6.302818458408789e-10, 'abasic': 4.734924042627993e-09}"
208,adjective,"{'abaxial': 7.408388080321836e-08, 'dorsal': 1.067651295909966e-05}"
209,verb,"{'foreshorten': 1.1947197884219238e-08, 'contract': 0.00011950018696205957, 'shorten': 2.1291109389265183e-06, 'abbreviate': 1.7947890112971664e-07, 'reduce': 3.8867694922365765e-05, 'cut': 0.00010518605121704877, 'abridge': 1.1200944413890671e-06, 'abbreviated': 1.6741237877937463e-06}"
210,verb,"{'stomach': 2.10000905209589e-05, 'brook': 5.222617591771836e-06, 'put up': 8.025568779706219e-06, 'endure': 1.0598158245226257e-05, 'abide': 6.481643916908605e-06, 'bear': 6.741732734234894e-05, 'stay': 4.065301713783759e-05, 'tolerate': 3.2042409367151576e-06, 'stand': 8.718493220403143e-05, 'bide': 6.109271311331773e-07, 'digest': 3.2920894077196045e-06, 'abiding': 3.0402992507315e-06, 'support': 0.000155568762291146, 'suffer': 3.302588141089579e-05, 'stick out': 1.4397071183086888e-07}"
211,satellite,"{'abiding': 3.0402992507315e-06, 'imperishable': 9.87618041097289e-07, 'enduring': 4.843467956986872e-06}"
212,satellite,"{'unhopeful': 1.5527664709883107e-08, 'low-down': 5.7628322081329134e-08, 'miserable': 1.4460958596873551e-05, 'abject': 2.1439854637126144e-06, 'scurvy': 1.2347218106448976e-06, 'scummy': 1.5546466099979195e-08, 'low': 0.00014273815455122861}"
213,adjective,"{'abkhaz': 3.87241487614919e-11, 'Abkhaz': 2.4594929188246445e-08, 'Abkhazian': 1.625934313980248e-08}"
214,satellite,"{'primordial': 1.003482121723523e-06, 'primal': 1.0707595672341165e-06, 'primeval': 1.4612554170984416e-06, 'aboriginal': 1.7863392452461345e-06, 'primaeval': 1.7766050331480542e-07}"
215,satellite,"{'unsuccessful': 7.183982701417532e-06, 'abortive': 2.067574248379659e-06, 'stillborn': 2.266712362402086e-07}"
216,satellite,"{'aboulic': 4.733033863885152e-10, 'abulic': 1.3468165579980592e-09}"
217,verb,"{'bristle': 8.873057443324663e-07, 'abound': 5.970626656852054e-06, 'abounding': 2.4372872493958153e-06, 'burst': 1.482697256147786e-05}"
218,satellite,"{'abounding': 2.4372872493958153e-06, 'galore': 1.8287736754916522e-07}"
219,satellite,"{'astir': 2.6525032887189304e-07, 'about': 0.0008460586453082185}"
220,satellite,"{'broached': 7.777219563076003e-07, 'abroach': 2.339248467342009e-08}"
221,satellite,"{'overseas': 7.917809572793923e-06, 'abroad': 3.375877260015084e-05}"
222,adverb,"{'overseas': 7.917809572793923e-06, 'afield': 7.105342990267296e-07, 'abroad': 3.375877260015084e-05}"
223,satellite,"{'disconnected': 1.719591579715466e-06, 'sharp': 2.723046601533016e-05, 'abrupt': 4.316947350248699e-06, 'precipitous': 1.7575636751603223e-06}"
224,satellite,"{'even-pinnate': 1.452201124463585e-09, 'paripinnate': 3.971775609523375e-09, 'abruptly-pinnate': 1.4102692811698733e-09}"
225,verb,"{'absent': 2.3052574161891993e-05, 'remove': 3.755661752222995e-05}"
226,satellite,"{'abstracted': 2.31820071993515e-06, 'absent': 2.3052574161891993e-05, 'wanting': 1.7950084001888208e-05, 'lacking': 8.697619271547135e-06, 'scatty': 3.6845679183886138e-09, 'absentminded': 4.017951658982717e-08, 'missing': 1.1298070110085546e-05}"
