,text,dict_val,enumerator
152,two-dimensional,58,152
153,flat,58,153
154,2-dimensional,58,154
155,20,59,155
156,twenty,59,156
157,xx,59,157
158,200,60,158
159,two hundred,60,159
160,cc,60,160
161,two-hundredth,61,161
162,200th,61,162
163,twentieth,62,163
164,20th,62,164
165,21,63,165
166,twenty-one,63,166
167,xxi,63,167
168,21st,64,168
169,twenty-first,64,169
170,xxii,65,170
171,twenty-two,65,171
172,22,65,172
173,twenty-second,66,173
174,22nd,66,174
175,23,67,175
176,xxiii,67,176
177,twenty-three,67,177
178,23rd,68,178
179,twenty-third,68,179
180,24,69,180
181,xxiv,69,181
182,twenty-four,69,182
183,twenty-fourth,70,183
184,24th,70,184
185,twenty-five,71,185
186,25,71,186
187,xxv,71,187
188,twenty-fifth,72,188
189,25th,72,189
190,26,73,190
191,twenty-six,73,191
192,xxvi,73,192
193,26th,74,193
194,twenty-sixth,74,194
195,xxvii,75,195
196,twenty-seven,75,196
197,27,75,197
198,twenty-seventh,76,198
199,27th,76,199
200,xxviii,77,200
201,twenty-eight,77,201
202,28,77,202
203,twenty-eighth,78,203
204,28th,78,204
205,xxix,79,205
206,29,79,206
207,twenty-nine,79,207
208,twenty-ninth,80,208
209,29th,80,209
210,second,81,210
211,2d,81,211
212,2nd,81,212
213,3,82,213
214,three,82,214
215,iii,82,215
216,three-d,83,216
217,three-dimensional,83,217
218,third-dimensional,83,218
219,3-dimensional,83,219
220,3-membered,84,220
221,three-membered,84,221
222,300,85,222
223,ccc,85,223
224,three hundred,85,224
225,300th,86,225
226,three-hundredth,86,226
227,30th,87,227
228,thirtieth,87,228
229,xxxi,88,229
230,thirty-one,88,230
231,31,88,231
232,thirty-first,89,232
233,31st,89,233
234,thirty-two,90,234
235,32,90,235
236,xxxii,90,236
237,thirty-second,91,237
238,32nd,91,238
239,33,92,239
240,thirty-three,92,240
241,xxxiii,92,241
242,33rd,93,242
243,thirty-third,93,243
244,xxxiv,94,244
245,thirty-four,94,245
246,34,94,246
247,34th,95,247
248,thirty-fourth,95,248
249,35,96,249
250,thirty-five,96,250
251,xxxv,96,251
252,35th,97,252
253,thirty-fifth,97,253
254,36,98,254
255,xxxvi,98,255
256,thirty-six,98,256
257,36th,99,257
258,thirty-sixth,99,258
259,thirty-seven,100,259
260,xxxvii,100,260
261,37,100,261
262,37th,101,262
263,thirty-seventh,101,263
264,thirty-eight,102,264
265,xxxviii,102,265
266,38,102,266
267,38th,103,267
268,thirty-eighth,103,268
269,ixl,104,269
270,thirty-nine,104,270
271,39,104,271
272,thirty-ninth,105,272
273,39th,105,273
274,3rd,106,274
275,tertiary,106,275
276,third,106,276
277,4,107,277
278,four,107,278
279,iv,107,279
280,four-dimensional,108,280
281,4-dimensional,108,281
282,four-membered,109,282
283,4-membered,109,283
284,twoscore,110,284
285,forty,110,285
286,xl,110,286
287,40,110,287
288,400,111,288
289,cd,111,289
290,four hundred,111,290
291,400th,112,291
292,four-hundredth,112,292
293,40th,113,293
294,fortieth,113,294
295,xli,114,295
296,41,114,296
297,forty-one,114,297
298,forty-first,115,298
299,41st,115,299
300,xlii,116,300
301,forty-two,116,301
302,42,116,302
303,42nd,117,303
304,forty-second,117,304
305,xliii,118,305
306,43,118,306
307,forty-three,118,307
308,forty-third,119,308
309,43rd,119,309
310,forty-fourth,120,310
311,44th,120,311
312,forty-five,121,312
313,45,121,313
314,xlv,121,314
315,45th,122,315
316,forty-fifth,122,316
317,xlvi,123,317
318,forty-six,123,318
319,46,123,319
320,46th,124,320
321,forty-sixth,124,321
322,47,125,322
323,forty-seven,125,323
324,xlvii,125,324
325,forty-seventh,126,325
326,47th,126,326
327,48,127,327
328,forty-eight,127,328
329,xlviii,127,329
330,48th,128,330
331,forty-eighth,128,331
332,il,129,332
333,49,129,333
334,forty-nine,129,334
335,49th,130,335
336,forty-ninth,130,336
337,fourth,131,337
338,quaternary,131,338
339,4th,131,339
340,v,132,340
341,five,132,341
342,5,132,342
343,5-membered,133,343
344,five-membered,133,344
345,l,134,345
346,50,134,346
347,fifty,134,347
348,five hundred,135,348
349,500,135,349
350,d,135,350
351,five-hundredth,136,351
352,500th,136,352
353,50th,137,353
354,fiftieth,137,354
355,51,138,355
356,li,138,356
357,fifty-one,138,357
358,fifty-two,139,358
359,52,139,359
360,lii,139,360
361,fifty-three,140,361
362,53,140,362
363,liii,140,363
364,fifty-four,141,364
365,54,141,365
366,liv,141,366
367,lv,142,367
368,fifty-five,142,368
369,55,142,369
370,fifty-six,143,370
371,56,143,371
372,lvi,143,372
373,fifty-seven,144,373
374,57,144,374
375,lvii,144,375
376,lviii,145,376
377,fifty-eight,145,377
378,58,145,378
379,ilx,146,379
380,59,146,380
381,fifty-nine,146,381
382,fifth,147,382
383,5th,147,383
384,vi,148,384
385,half-dozen,148,385
386,6,148,386
387,six,148,387
388,half dozen,148,388
389,6-membered,149,389
390,six-membered,149,390
391,threescore,150,391
392,60,150,392
393,lx,150,393
394,sixty,150,394
395,60th,151,395
396,sixtieth,151,396
397,lxi,152,397
398,sixty-one,152,398
399,61,152,399
400,sixty-four,153,400
401,lxiv,153,401
402,64,153,402
403,sixty-fourth,154,403
404,64th,154,404
405,sixty-five,155,405
406,65,155,406
407,lxv,155,407
408,65th,156,408
409,sixty-fifth,156,409
410,66,157,410
411,sixty-six,157,411
412,lxvi,157,412
413,lxvii,158,413
414,sixty-seven,158,414
415,67,158,415
416,68,159,416
417,sixty-eight,159,417
418,lxviii,159,418
419,sixty-nine,160,419
420,ilxx,160,420
421,69,160,421
422,sixth,161,422
423,6th,161,423
424,vii,162,424
425,seven,162,425
426,7,162,426
427,seven-membered,163,427
428,7-membered,163,428
429,seventieth,164,429
430,70th,164,430
431,seventy-one,165,431
432,lxxi,165,432
433,71,165,433
434,seventy-two,166,434
435,lxxii,166,435
436,72,166,436
437,73,167,437
438,lxxiii,167,438
439,seventy-three,167,439
440,74,168,440
441,lxxiv,168,441
442,seventy-four,168,442
443,seventy-five,169,443
444,75,169,444
445,lxxv,169,445
446,75th,170,446
447,seventy-fifth,170,447
448,seventy-six,171,448
449,lxxvi,171,449
450,76,171,450
451,seventy-seven,172,451
452,lxxvii,172,452
453,77,172,453
454,lxxviii,173,454
455,seventy-eight,173,455
456,78,173,456
457,eight,174,457
458,viii,174,458
459,8,174,459
460,8-membered,175,460
461,eight-membered,175,461
462,80,176,462
463,lxxx,176,463
464,eighty,176,464
465,fourscore,176,465
466,eightieth,177,466
467,80th,177,467
468,81,178,468
469,eighty-one,178,469
470,lxxxi,178,470
471,82,179,471
472,lxxxii,179,472
473,eighty-two,179,473
474,83,180,474
475,eighty-three,180,475
476,lxxxiii,180,476
477,84,181,477
478,eighty-four,181,478
479,lxxxiv,181,479
480,eighty-five,182,480
481,85,182,481
482,lxxxv,182,482
483,85th,183,483
484,eighty-fifth,183,484
485,eighty-eight,184,485
486,lxxxviii,184,486
487,88,184,487
488,89,185,488
489,eighty-nine,185,489
490,ixc,185,490
491,eighth,186,491
492,8th,186,492
493,9,187,493
494,ix,187,494
495,nine,187,495
496,9-membered,188,496
497,nine-membered,188,497
498,xc,189,498
499,ninety,189,499
500,90,189,500
501,90th,190,501
502,ninetieth,190,502
503,xci,191,503
504,ninety-one,191,504
505,91,191,505
506,ninety-two,192,506
507,xcii,192,507
508,92,192,508
509,93,193,509
510,ninety-three,193,510
511,xciii,193,511
512,ninety-four,194,512
513,94,194,513
514,xciv,194,514
515,95th,195,515
516,ninety-fifth,195,516
517,ninety-six,196,517
518,96,196,518
519,xcvi,196,519
520,97,197,520
521,xcvii,197,521
522,ninety-seven,197,522
523,98,198,523
524,ninety-eight,198,524
525,xcviii,198,525
526,ninety-nine,199,526
527,ic,199,527
528,99,199,528
529,9th,200,529
530,ninth,200,530
531,a-okay,201,531
532,a-ok,201,532
533,A-one,202,533
534,super,202,534
535,tops,202,535
536,crack,202,536
537,tiptop,202,537
538,ace,202,538
539,top-notch,202,539
540,a-one,202,540
541,topnotch,202,541
542,first-rate,202,542
543,a.m.,203,543
544,ante meridiem,203,544
545,give up,204,545
546,empty,204,546
547,vacate,204,547
548,desolate,204,548
549,abandoned,204,549
550,desert,204,550
551,abandon,204,551
552,forsake,204,552
553,derelict,205,553
554,abandoned,205,554
555,deserted,205,555
556,abashed,206,556
557,embarrass,206,557
558,abash,206,558
559,abashed,207,559
560,embarrassed,207,560
561,chagrined,207,561
562,abatic,208,562
563,abasic,208,563
564,abaxial,209,564
565,dorsal,209,565
566,foreshorten,210,566
567,contract,210,567
568,shorten,210,568
569,abbreviate,210,569
570,reduce,210,570
571,cut,210,571
572,abridge,210,572
573,abbreviated,210,573
574,stomach,211,574
575,brook,211,575
576,put up,211,576
577,endure,211,577
578,abide,211,578
579,bear,211,579
580,stay,211,580
581,tolerate,211,581
582,stand,211,582
583,bide,211,583
584,digest,211,584
585,abiding,211,585
586,support,211,586
587,suffer,211,587
588,stick out,211,588
589,abiding,212,589
590,imperishable,212,590
591,enduring,212,591
592,unhopeful,213,592
593,low-down,213,593
594,miserable,213,594
595,abject,213,595
596,scurvy,213,596
597,scummy,213,597
598,low,213,598
599,abkhaz,214,599
600,Abkhaz,214,600
601,Abkhazian,214,601
602,primordial,215,602
603,primal,215,603
604,primeval,215,604
605,aboriginal,215,605
606,primaeval,215,606
607,unsuccessful,216,607
608,abortive,216,608
609,stillborn,216,609
610,aboulic,217,610
611,abulic,217,611
612,bristle,218,612
613,abound,218,613
614,abounding,218,614
615,burst,218,615
616,abounding,219,616
617,galore,219,617
618,astir,220,618
619,about,220,619
620,broached,221,620
621,abroach,221,621
622,overseas,222,622
623,abroad,222,623
624,overseas,223,624
625,afield,223,625
626,abroad,223,626
627,disconnected,224,627
628,sharp,224,628
629,abrupt,224,629
630,precipitous,224,630
631,even-pinnate,225,631
632,paripinnate,225,632
633,abruptly-pinnate,225,633
634,absent,226,634
635,remove,226,635
636,abstracted,227,636
637,absent,227,637
638,wanting,227,638
639,lacking,227,639
640,scatty,227,640
641,absentminded,227,641
642,missing,227,642
643,absent,228,643
644,scatty,228,644
645,absentminded,228,645
646,abstracted,228,646
647,absolvitory,229,647
648,exonerative,229,648
649,forgiving,229,649
650,occupy,230,650
651,suck,230,651
652,plunge,230,652
653,engage,230,653
654,engross,230,654
655,immerse,230,655
656,absorb,230,656
657,suck up,230,657
658,draw,230,658
659,imbibe,230,659
660,soak up,230,660
661,steep,230,661
662,assimilate,230,662
663,take over,230,663
664,ingest,230,664
665,take up,230,665
666,engulf,230,666
667,absorbed,230,667
668,sop up,230,668
669,take in,230,669
670,wrapped,231,670
671,enwrapped,231,671
672,absorbed,231,672
673,captive,231,673
674,engrossed,231,674
675,intent,231,675
676,ill-treated,232,676
677,abused,232,677
678,maltreated,232,678
679,mistreated,232,679
680,opprobrious,233,680
681,abusive,233,681
682,scurrilous,233,682
683,buzzing,234,683
684,abuzz,234,684
685,unfathomable,235,685
686,abyssal,235,686
687,abysmal,235,687
688,academic,236,688
689,pedantic,236,689
690,donnish,236,690
691,acanthoid,237,691
692,spinous,237,692
693,acanthous,237,693
694,acaudate,238,694
695,acaudal,238,695
696,stemless,239,696
697,acaulescent,239,697
698,accented,240,698
699,accent,240,699
700,emphasise,240,700
701,punctuate,240,701
702,stress,240,702
703,emphasize,240,703
704,accentuate,240,704
705,accented,241,705
706,stressed,241,706
707,tonic,241,707
708,acceptable,242,708
709,satisfactory,242,709
710,acceptive,243,710
711,acceptant,243,711
712,have,244,712
713,accept,244,713
714,bear,244,714
715,take on,244,715
716,consent,244,716
717,accepted,244,717
718,admit,244,718
719,take,244,719
720,take over,244,720
721,assume,244,721
722,swallow,244,722
723,go for,244,723
724,live with,244,724
725,recognised,245,725
726,accepted,245,726
727,recognized,245,727
728,come with,246,728
729,companion,246,729
730,accompany,246,730
731,keep company,246,731
732,attach to,246,732
733,go with,246,733
734,company,246,734
735,follow,246,735
736,accompanied,246,736
737,play along,246,737
738,accompanied,247,738
739,attended,247,739
740,come with,248,740
741,companion,248,741
742,accompany,248,742
743,keep company,248,743
744,attach to,248,744
745,go with,248,745
746,company,248,746
747,follow,248,747
748,accompanying,248,748
749,play along,248,749
750,consequent,249,750
751,resultant,249,751
752,concomitant,249,752
753,sequent,249,753
754,ensuant,249,754
755,accompanying,249,755
756,attendant,249,756
757,incidental,249,757
758,accrued,250,758
759,accumulated,250,759
760,acculturative,251,760
761,acculturational,251,761
762,accumbent,252,762
763,recumbent,252,763
764,decumbent,252,764
765,conglomerate,253,765
766,cumulate,253,766
767,compile,253,767
768,amass,253,768
769,hoard,253,769
770,accumulate,253,770
771,roll up,253,771
772,gather,253,772
773,accumulated,253,773
774,pile up,253,774
775,collect,253,775
776,cumulative,254,776
777,accumulative,254,777
778,exact,255,778
779,precise,255,779
780,accurate,255,780
781,noncellular,256,781
782,acellular,256,782
783,acerose,257,783
784,acerate,257,784
785,needle-shaped,257,785
786,acicular,257,786
787,blistering,258,787
788,vitriolic,258,788
789,acerb,258,789
790,acerbic,258,790
791,astringent,258,791
792,bitter,258,792
793,sulfurous,258,793
794,sulphurous,258,794
795,virulent,258,795
796,caustic,258,796
797,acid,258,797
798,acrid,258,798
799,cotyloid,259,799
800,acetabular,259,800
801,cotyloidal,259,801
802,vinegary,260,802
803,acetose,260,803
804,acetous,260,804
805,vinegarish,260,805
806,achaean,261,806
807,Achaean,261,807
808,acidophilic,262,808
809,acidophilous,262,809
810,aciduric,262,810
811,acinous,263,811
812,acinic,263,812
813,acinar,263,813
814,acinose,263,814
815,receipt,264,815
816,notice,264,816
817,acknowledged,264,817
818,recognise,264,818
819,know,264,819
820,admit,264,820
821,acknowledge,264,821
822,recognize,264,822
823,acned,265,823
824,pimpled,265,824
825,pustulate,265,825
826,pimply,265,826
827,acoustical,266,827
828,acoustic,266,828
829,familiarise,267,829
830,introduce,267,830
831,present,267,831
832,familiarize,267,832
833,acquainted,267,833
834,acquaint,267,834
835,acquiescent,268,835
836,biddable,268,836
837,athletic,269,837
838,gymnastic,269,838
839,acrobatic,269,839
840,acrogenic,270,840
841,acrogenous,270,841
842,acronymous,271,842
843,acronymic,271,843
844,wide,272,844
845,all-inclusive,272,845
846,extensive,272,846
847,encompassing,272,847
848,panoptic,272,848
849,all-encompassing,272,849
850,broad,272,850
851,all-embracing,272,851
852,blanket,272,852
853,across-the-board,272,853
854,act as,273,854
855,act,273,855
856,do,273,856
857,dissemble,273,857
858,acting,273,858
859,behave,273,859
860,roleplay,273,860
861,playact,273,861
862,pretend,273,862
863,represent,273,863
864,work,273,864
865,play,273,865
866,move,273,866
867,actual,274,867
868,existent,274,868
869,actual,275,869
870,literal,275,870
871,factual,275,871
872,genuine,275,872
873,real,275,873
874,prompt,276,874
875,incite,276,875
876,trip,276,876
877,trigger,276,877
878,set off,276,878
879,touch off,276,879
880,spark,276,880
881,actuated,276,881
882,trigger off,276,882
883,activate,276,883
884,actuate,276,884
885,propel,276,885
886,motivate,276,886
887,move,276,887
888,spark off,276,888
889,addible,277,889
890,addable,277,890
891,addicted,278,891
892,hook,278,892
893,addict,278,893
894,habit-forming,279,894
895,addictive,279,895
896,additional,280,896
897,extra,280,897
898,linear,281,898
899,additive,281,899
900,addlebrained,282,900
901,muddleheaded,282,901
902,puddingheaded,282,902
903,addlepated,282,903
904,addled,283,904
905,puddle,283,905
906,muddle,283,906
907,addle,283,907
908,addled,284,908
909,muzzy,284,909
910,wooly,284,910
911,woolly-headed,284,911
912,wooly-minded,284,912
913,woolly,284,913
914,muddled,284,914
915,befuddled,284,915
916,proficient,285,916
917,practiced,285,917
918,good,285,918
919,skilful,285,919
920,skillful,285,920
921,expert,285,921
922,adept,285,922
923,equal,286,923
924,adequate,286,924
925,tolerable,287,925
926,enough,287,926
927,decent,287,927
928,fair to middling,287,928
929,passable,287,929
930,adequate,287,930
931,capable,288,931
932,equal to,288,932
933,up to,288,933
934,adequate to,288,934
935,contiguous,289,935
936,neighboring,289,936
937,side by side,289,937
938,adjacent,289,938
939,conterminous,289,939
940,next,289,940
941,adjective,290,941
942,adjectival,290,942
943,procedural,291,943
944,adjective,291,944
945,adjectival,291,945
946,look up to,292,946
947,admired,292,947
948,admire,292,948
949,admittable,293,949
950,admittible,293,950
951,discourage,294,951
952,caution,294,952
953,warn,294,953
954,admonish,294,954
955,admonishing,294,955
956,monish,294,956
957,reprove,294,957
958,reproachful,295,958
959,admonishing,295,959
960,admonitory,295,960
961,reproving,295,961
962,exemplary,296,962
963,reproving,296,963
964,admonishing,296,964
965,reproachful,296,965
966,monitory,296,966
967,admonitory,296,967
968,warning,296,968
969,cautionary,296,969
970,adnexal,297,970
971,annexal,297,971
972,ornament,298,972
973,adorn,298,973
974,decorate,298,974
975,grace,298,975
976,deck,298,976
977,clothe,298,977
978,adorned,298,978
979,embellish,298,979
980,invest,298,980
981,beautify,298,981
982,adorned,299,982
983,decorated,299,983
984,adpressed,300,984
985,appressed,300,985
986,sympathomimetic,301,986
987,adrenergic,301,987
988,adrenocorticotropic,302,988
989,adrenocorticotrophic,302,989
990,undirected,303,990
991,planless,303,991
992,rudderless,303,992
993,directionless,303,993
994,adrift,303,994
995,afloat,303,995
996,aimless,303,996
997,adscripted,304,997
998,adscript,304,998
999,adsorbable,305,999
1000,adsorbate,305,1000
1001,adulterate,306,1001
1002,adulterated,306,1002
1003,debased,306,1003
1004,dilute,307,1004
1005,load,307,1005
1006,debase,307,1006
1007,adulterate,307,1007
1008,adulterated,307,1008
1009,stretch,307,1009
1010,dilute,308,1010
1011,adulterating,308,1011
1012,load,308,1012
1013,debase,308,1013
1014,adulterate,308,1014
1015,stretch,308,1015
1016,adulterous,309,1016
1017,extracurricular,309,1017
1018,two-timing,309,1018
1019,extramarital,309,1019
1020,cheating,309,1020
1021,adumbrative,310,1021
1022,foreshadowing,310,1022
1023,prefigurative,310,1023
1024,adust,311,1024
1025,parched,311,1025
1026,scorched,311,1026
1027,sunbaked,311,1027
1028,baked,311,1028
1029,advertent,312,1029
1030,heedful,312,1030
1031,advertise,313,1031
1032,advertize,313,1032
1033,publicize,313,1033
1034,promote,313,1034
1035,publicise,313,1035
1036,advertised,313,1036
1037,push,313,1037
1038,rede,314,1038
1039,counsel,314,1039
1040,advise,314,1040
1041,send word,314,1041
1042,notify,314,1042
1043,give notice,314,1043
1044,apprise,314,1044
1045,propose,314,1045
1046,advised,314,1046
1047,suggest,314,1047
1048,apprize,314,1048
1049,advised,315,1049
1050,well-advised,315,1050
1051,consultative,316,1051
1052,consultatory,316,1052
1053,advisory,316,1053
1054,consultive,316,1054
1055,undynamic,317,1055
1056,adynamic,317,1056
1057,aery,318,1057
1058,airlike,318,1058
1059,ethereal,318,1059
1060,aeriform,318,1060
1061,airy,318,1061
1062,aerial,318,1062
1063,aerophilous,319,1063
1064,aerobic,319,1064
1065,aerophilic,319,1065
1066,flowing,320,1066
1067,aerodynamic,320,1067
1068,streamlined,320,1068
1069,sleek,320,1069
1070,aeronautic,321,1070
1071,aeronautical,321,1071
1072,aerosolize,322,1072
1073,aerosolised,322,1073
1074,aerosolise,322,1074
1075,aerosolized,323,1075
1076,aerosolised,323,1076
1077,aerosolize,324,1077
1078,aerosolized,324,1078
1079,aerosolise,324,1079
1080,aeschylean,325,1080
1081,Aeschylean,325,1081
1082,medical,326,1082
1083,aesculapian,326,1083
1084,etiological,327,1084
1085,etiologic,327,1085
1086,aetiologic,327,1086
1087,aetiological,327,1087
1088,afeared,328,1088
1089,afeard,328,1089
1090,affable,329,1090
1091,amiable,329,1091
1092,cordial,329,1092
1093,genial,329,1093
1094,strike,330,1094
1095,involve,330,1095
1096,bear upon,330,1096
1097,dissemble,330,1097
1098,affected,330,1098
1099,touch,330,1099
1100,bear on,330,1100
1101,regard,330,1101
1102,pretend,330,1102
1103,touch on,330,1103
1104,affect,330,1104
1105,impress,330,1105
1106,feign,330,1106
1107,impact,330,1107
1108,move,330,1108
1109,sham,330,1109
1110,affixal,331,1110
1111,affixial,331,1111
1112,stick on,332,1112
1113,append,332,1113
1114,add on,332,1114
1115,affixed,332,1115
1116,supplement,332,1116
1117,affix,332,1117
1118,afflicted,333,1118
1119,afflict,333,1119
1120,smite,333,1120
1121,afflicted,334,1121
1122,stricken,334,1122
1123,impaired,334,1123
1124,painful,335,1124
1125,sore,335,1125
1126,afflictive,335,1126
1127,moneyed,336,1127
1128,flush,336,1128
1129,affluent,336,1129
1130,loaded,336,1130
1131,wealthy,336,1131
1132,low-cost,337,1132
1133,low-priced,337,1133
1134,affordable,337,1134
1135,afghan,338,1135
1136,Afghan,338,1136
1137,Afghani,338,1137
1138,Afghanistani,338,1138
1139,aflare,339,1139
1140,aflame,339,1140
1141,ablaze,339,1141
1142,alight,339,1142
1143,flaring,339,1143
1144,afire,339,1144
1145,on fire,339,1145
1146,flickering,340,1146
1147,aflicker,340,1147
1148,undirected,341,1148
1149,planless,341,1149
1150,flooded,341,1150
1151,rudderless,341,1151
1152,directionless,341,1152
1153,overflowing,341,1153
1154,adrift,341,1154
1155,awash,341,1155
1156,afloat,341,1156
1157,aimless,341,1157
1158,inundated,341,1158
1159,aflutter,342,1159
1160,nervous,342,1160
1161,afoot,343,1161
1162,underway,343,1162
1163,aforementioned,344,1163
1164,aforesaid,344,1164
1165,said,344,1165
1166,planned,345,1166
1167,plotted,345,1167
1168,aforethought,345,1168
1169,afro-asian,346,1169
1170,Afro-Asian,346,1170
1171,astern,347,1171
1172,aft,347,1172
1173,abaft,347,1173
1174,after,348,1174
1175,later,348,1175
1176,later on,348,1176
1177,afterwards,348,1177
1178,subsequently,348,1178
1179,afterward,348,1179
1180,agamogenetic,349,1180
1181,parthenogenetic,349,1181
1182,apomictic,349,1182
1183,agamic,349,1183
1184,agamous,349,1184
1185,agape,350,1185
1186,gaping,350,1186
1187,agaze,351,1187
1188,staring,351,1188
1189,antique,352,1189
1190,age-old,352,1190
1191,mature,353,1191
1192,aged,353,1192
1193,get on,353,1193
1194,senesce,353,1194
1195,maturate,353,1195
1196,age,353,1196
1197,clustered,354,1197
1198,agglomerate,354,1198
1199,agglomerated,354,1199
1200,agglomerative,354,1200
1201,agglomerated,355,1201
1202,agglomerate,355,1202
1203,agglutinate,356,1203
1204,agglutinative,356,1204
1205,agglutinate,357,1205
1206,agglutinative,357,1206
1207,polysynthetic,357,1207
1208,exacerbate,358,1208
1209,aggravated,358,1209
1210,exasperate,358,1210
1211,aggravate,358,1211
1212,worsen,358,1212
1213,aggravated,359,1213
1214,provoked,359,1214
1215,exacerbate,360,1215
1216,aggravating,360,1216
1217,exasperate,360,1217
1218,aggravate,360,1218
1219,worsen,360,1219
1220,exasperating,361,1220
1221,aggravating,361,1221
1222,exacerbating,361,1222
1223,combine,362,1223
1224,aggregate,362,1224
1225,dismayed,363,1225
1226,shocked,363,1226
1227,aghast,363,1227
1228,appalled,363,1228
1229,quick,364,1229
1230,nimble,364,1230
1231,prompt,364,1231
1232,contiguous,364,1232
1233,straightaway,364,1233
1234,immediate,364,1234
1235,ready,364,1235
1236,fond,364,1236
1237,affectionate,364,1237
1238,ardent,364,1238
1239,lovesome,364,1239
1240,tender,364,1240
1241,warm,364,1241
1242,strong,364,1242
1243,riotous,364,1243
1244,flying,364,1244
1245,debauched,364,1245
1246,libertine,364,1246
1247,loyal,364,1247
1248,immobile,364,1248
1249,degenerate,364,1249
1250,fastest,364,1250
1251,fast,364,1251
1252,dissolute,364,1252
1253,dissipated,364,1253
1254,profligate,364,1254
1255,truehearted,364,1255
1256,firm,364,1256
1257,degraded,364,1257
1258,readily,364,1258
1259,pronto,364,1259
1260,right away,364,1260
1261,quickly,364,1261
1262,promptly,364,1262
1263,warmer,364,1263
1264,mature,365,1264
1265,aging,365,1265
1266,get on,365,1266
1267,senesce,365,1267
1268,maturate,365,1268
1269,age,365,1269
1270,torturing,366,1270
1271,agonising,366,1271
1272,torturesome,366,1272
1273,harrowing,366,1273
1274,agonizing,366,1274
1275,torturous,366,1275
1276,excruciating,366,1276
1277,agonistical,367,1277
1278,combative,367,1278
1279,strained,367,1279
1280,agonistic,367,1280
1281,agonistical,368,1281
1282,agonistic,368,1282
1283,combative,368,1283
1284,agonized,369,1284
1285,agonize,369,1285
1286,agonise,369,1286
1287,agonizing,370,1287
1288,agonize,370,1288
1289,agonise,370,1289
1290,agrarian,371,1290
1291,agricultural,371,1291
1292,farming,371,1292
1293,ahorseback,372,1293
1294,ahorse,372,1294
1295,ahorseback,373,1295
